"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
SUL;LAVRAS;LAVRAS;HOSPITAL/FUNDACAO;5742024;22073381000171;HOSPITAL VAZ MONTEIRO DE ASSISTENCIA A INFANCIA E MATERNIDADE;01/07/2024;30/06/2029;jul/26
SUDESTE;MURIAE;PALMA;HOSPITAL/FUNDACAO;4632024;17734625000180;HOSPITAL E MATERNIDADE MARIA ELOY;01/06/2024;31/05/2029;jul/26
CENTRO SUL;SAO JOAO DEL REI;RESENDE COSTA;HOSPITAL/FUNDACAO;11142024;61986402000797;ASSOCIACAO FILHAS DE SAO CAMILO;30/12/2024;30/11/2029;jul/26
SUDESTE;UBA;VISCONDE DO RIO BRANCO;HOSPITAL/FUNDACAO;6862024;26001230000169;ASSOCIACAO BENEFICENTE SAO JOAO BATISTA;01/08/2024;31/07/2029;jul/26
OESTE;DIVINOPOLIS;ITAPECERICA;HOSPITAL/FUNDACAO;9042023;16804692000160;SANTA CASA DE MISERICORDIA E MAT SANTANA DE ITAPECERICA;01/10/2023;30/09/2028;jul/26
CENTRO;BETIM;BETIM;HOSPITAL/FUNDACAO;8512024;26046821000152;CENTRO ESPECIALIZADO NOSSA SENHORA D ASSUMPCAO EIRELI;01/10/2024;31/03/2027;jul/26
OESTE;BOM DESPACHO;BOM DESPACHO;CLINICA;6782024;64479405000137;CLINICORBD LTDA;01/08/2024;31/01/2027;jul/26
SUL;ITAJUBA;BRAZOPOLIS;LABORATORIO;3772024;00099357000179;BRASLAB LTDA;01/05/2024;31/10/2026;jul/26
CENTRO SUL;CONSELHEIRO LAFAIETE;CONGONHAS;LABORATORIO;5592023;23969421000120;LABORATORIO FERRARI & SEABRA LTDA;01/08/2023;31/07/2028;jul/26
CENTRO SUL;CONSELHEIRO LAFAIETE;CONSELHEIRO LAFAIETE;LABORATORIO;5702022;19177062000100;LABORATORIO PACHECO LTDA;10/08/2022;31/07/2027;jul/26
CENTRO SUL;CONSELHEIRO LAFAIETE;CONSELHEIRO LAFAIETE;CLINICA;7672023;73465692000117;FISIOCLINICA CLINICA DE FISIOTERAPIA LTDA;07/09/2023;31/08/2028;jul/26
SUDESTE;CARANGOLA;DIVINO;LABORATORIO;1962022;26139774000191;LABORATORIO SANTA LUCIA DE DIVINO LTDA;03/03/2022;28/02/2027;jul/26
NORDESTE;DIAMANTINA;DIAMANTINA;HOSPITAL/FUNDACAO;3422025;20081238000104;IRMANDADE DE NOSSA SENHORA DA SAUDE;01/06/2025;31/05/2030;jul/26
LESTE DO SUL;MANHUACU;IPANEMA;LABORATORIO;8072023;18860718000385;LABORATORIO SAO LOURENCO LTDA;01/10/2023;30/09/2028;jul/26
OESTE;ITAUNA;ITAUNA;LABORATORIO;3752024;74083171000168;LABORATORIO DALMO L. L. COUTINHO LTDA;01/05/2024;31/10/2026;jul/26
NOROESTE;JOAO PINHEIRO;JOAO PINHEIRO;HOSPITAL/FUNDACAO;9202025;18448738000181;HOSPITAL E MATERNIDADE SANTANA LIMITADA;01/10/2025;30/09/2030;jul/26
SUDESTE;UBA;UBA;LABORATORIO;2332023;26345348000104;MENDES & BRANDAO LTDA;31/03/2023;29/02/2028;jul/26
SUDESTE;UBA;UBA;HOSPITAL/FUNDACAO;8602024;71033278000103;CASA DE SAUDE SAO JANUARIO LTDA;01/10/2024;30/09/2029;jul/26
TRIANGULO DO SUL;UBERABA;UBERABA;CLINICA;20268;74126822000150;CENTRO DIAGNOSTICO CARDIOLOGICO LTDA;01/01/2026;31/12/2030;jul/26
SUL;VARGINHA;VARGINHA;LABORATORIO;11902023;17087370000100;ANALISE CLINICA FROTA LTDA;26/12/2023;30/11/2028;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;6542023;23104508000135;MOVIMENTO - CLINICA DE FISIOTERAPIA LTDA;01/09/2023;31/08/2028;jul/26
NORDESTE;NANUQUE;NANUQUE;HOSPITAL/FUNDACAO;2642024;18873075000142;HOSPITAL E MATERNIDADE GECY R GOMES S A;26/03/2024;31/08/2026;jul/26
CENTRO;SETE LAGOAS;SETE LAGOAS;LABORATORIO;1012024;19074426000118;LABORATORIO DE ANALISES CLINICAS SANTA CLARA LTDA;08/02/2024;31/05/2027;jul/26
SUL;SAO SEBASTIAO DO PARAISO;SAO SEBASTIAO DO PARAISO;HOSPITAL/FUNDACAO;10052025;24899395000174;SANTA CASA DE MISERICORDIA DE SAO SEBASTIAO DO PARAISO;01/10/2025;30/09/2030;jul/26
NOROESTE;PATOS DE MINAS;PATOS DE MINAS;LABORATORIO;8662025;20022992000165;LABORATORIO DE PAT. CLIN. E ANAL. CLIN. CARLOS CHAGAS LTDA;01/09/2025;31/08/2030;jul/26
LESTE DO SUL;PONTE NOVA;PONTE NOVA;HOSPITAL/FUNDACAO;8542024;23798846000114;IRMANDADE DO HOSPITAL DE NOSSA SENHORA DAS DORES;01/10/2024;30/09/2029;jul/26
SUDESTE;CATAGUASES;LEOPOLDINA;LABORATORIO;1272023;00539107000102;CARLA BARBOSA BASILE CROCCO & CIA LTDA;01/03/2023;29/02/2028;jul/26
SUDESTE;JUIZ DE FORA;LIMA DUARTE;LABORATORIO;2562024;65250862000118;LABORATORIO DE ANALISES CLINICAS ALMEIDA LTDA;15/03/2024;31/08/2026;jul/26
SUL;ALFENAS;MACHADO;LABORATORIO;3062024;25660077000119;CLINITEST - DOMINGOS SAVIO LABECCA LTDA;04/04/2024;30/09/2026;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;LABORATORIO ODONTOLOGICO;5132022;19223635000186;LABORATORIO DENTAL ARAUJO LTDA;01/08/2022;31/07/2027;jul/26
SUDESTE;CATAGUASES;CATAGUASES;LABORATORIO;8972022;26146621000171;FABIANO MEDEIROS GUIMARAES E CIA LTDA;06/12/2022;30/11/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;7942023;25214560000170;CENTRO DE DIAGNOSTICO E IMAGENS SAO MIGUEL LTDA;01/10/2023;30/09/2028;jul/26
NORTE;JANUARIA;JANUARIA;LABORATORIO;5542025;21357629000163;JOAO ROBERTO GOMES OLIVEIRA;01/08/2025;31/07/2030;jul/26
LESTE;SANTA MARIA DO SUACUI;SANTA MARIA DO SUACUI;HOSPITAL/FUNDACAO;9612024;20974770000142;HOSPITAL SANTA MARIA ETERNA;01/11/2024;31/10/2029;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;1902022;65137457000198;NUCLEAR MEDCENTER LTDA;01/03/2022;28/02/2027;jul/26
SUL;ALFENAS;ALFENAS;HOSPITAL/FUNDACAO;4952025;16650756000116;CASA DE CARIDADE DE ALFENAS NOSSA SENHORA DO PERPETUO SOCORRO;01/07/2025;30/06/2030;jul/26
CENTRO;CONTAGEM;ESMERALDAS;LABORATORIO;5612023;68546241000174;BIOCLINICA LABORATORIO CLINICO LTDA;11/07/2023;30/06/2028;jul/26
NORTE;JANAUBA;PORTEIRINHA;LABORATORIO;5992023;00185114000153;IPAC INSTITUTO DE PESQUISAS E ANALISES CLINICAS LTDA;01/08/2023;31/07/2028;jul/26
SUDESTE;JUIZ DE FORA;MATIAS BARBOSA;LABORATORIO;692022;00519612000195;LABORATORIO DE ANALISES CLINICAS MATIAS BARBOSA LTDA;01/02/2022;31/01/2027;jul/26
CENTRO;CURVELO;CURVELO;HOSPITAL/FUNDACAO;5302025;16881161000171;HOSPITAL IMACULADA CONCEICAO;01/07/2025;30/06/2030;jul/26
OESTE;DIVINOPOLIS;DIVINOPOLIS;LABORATORIO;6622025;00763153000190;CID - CENTRO DE INVESTIGACOES DE DIAGNOSTICOS LTDA;01/08/2025;31/07/2030;jul/26
SUL;PASSOS;PASSOS;LABORATORIO;6482023;00193778000164;LABORATORIO DO SUDOESTE MINEIRO LTDA;08/08/2023;31/07/2028;jul/26
OESTE;CAMPO BELO;CAMPO BELO;LABORATORIO;3012022;23775349000109;LABORATORIO DE ANALISES CLINICAS WALDEMAR GAMBOGI LTDA;01/06/2022;31/05/2027;jul/26
